index_str,p,seed,n_nodes,n_neighbors,transitivity,avg_length,sigma,hub_ness,ipr_rho,ipr_O,ipr_eigenvector,variance_rho,variance_O,variance_eigenvector,k_avg,avg_clustering,eigenvalues,weighted_k_avg,weighted_clustering
p0.0011513953993264468_n20_k6_seed2,0.0011513953993264468,2,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0011513953993264468_n20_k6_seed3,0.0011513953993264468,3,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0011513953993264468_n20_k6_seed4,0.0011513953993264468,4,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0011513953993264468_n20_k6_seed5,0.0011513953993264468,5,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0011513953993264468_n20_k6_seed6,0.0011513953993264468,6,20,6,0.9935897435897436,1.2347368421052631,1.5735138397915294,1.1475409836065575,0.05000004442660891,0.05000279809041886,0.07500000000000002,1.4020898129969836e-11,5.650483722302233e-06,0.05,6.1,0.5990476190476188,"[-8.993368571799923, -8.618033988749911, -8.618033988749884, -8.000000000000004, -7.999999999999994, -7.6699073517265335, -7.45964954842535, -7.39519559714479, -7.34457651675526, -6.855520209116991, -6.618033988749894, -6.3819660112501015, -6.381966011250099, -5.999999999999981, -5.891491460744518, -4.637529042015215, -4.381966011250099, -1.4484792281965377, -1.3042824740748524, -6.661338147750939e-16]","[6.73765350350372, 6.000139825190242, 6.2, 6.1000000000000005, 6.000702198044837, 6.047387072562056, 6.099999999999994, 6.003903456956682, 6.100000000000004, 6.055133608522489, 6.000000000000001, 6.199999999999998, 6.034966553791122, 6.027027027027028, 6.100000000000001, 6.077407050823427, 6.000000000000001, 6.051488280604601, 6.099999999999999, 6.1000000000000005]","[0.5440752059582439, 0.6045987805803407, 0.5934886847244045, 0.5990476190476188, 0.6132330193269284, 0.601881915095168, 0.5927072422723181, 0.6011192677460772, 0.6029661873962351, 0.6150927961350579, 0.6046065533708337, 0.5860351247994053, 0.6075100924949645, 0.6051480051480052, 0.5951290506990026, 0.596739635946869, 0.6120601132958331, 0.5964193644467696, 0.60538799582292, 0.599047619047619]"
p0.0011513953993264468_n20_k6_seed7,0.0011513953993264468,7,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0013257113655901094_n20_k6_seed0,0.0013257113655901094,0,20,6,1.0096153846153846,1.2442105263157892,1.5867187823638755,1.1475409836065575,0.05000004411049445,0.050002814408851175,0.07500000000000004,1.3920999701609256e-11,5.683322797971188e-06,0.05,6.1,0.607142857142857,"[-9.071058138659124, -8.618033988749911, -8.107507344735765, -8.000000000000005, -8.000000000000002, -8.0, -7.4596495484253635, -7.426643227910417, -7.344576516755254, -6.8325368812598875, -6.618033988749891, -6.529354429718751, -6.381966011250099, -6.037970036988886, -5.891491460744529, -4.592221236709703, -4.381966011250095, -1.4027087040174568, -1.3042824740748484, 4.440892098500626e-16]","[6.512554001197196, 6.130901699437494, 6.28286845222025, 6.231598743599954, 6.094657672854778, 6.085272860283434, 6.130901699437499, 6.002756180108772, 6.019098300562504, 6.071086168832679, 6.130901699437498, 6.013913333571645, 6.0190983005625025, 6.024073216070134, 6.019098300562503, 6.057930164590901, 6.019098300562506, 6.034818483408425, 6.130901699437495, 6.1]","[0.5911755067047918, 0.6041998381488098, 0.5965318064786579, 0.5989962682533363, 0.6074735726327993, 0.608054537220549, 0.6149867314071428, 0.604809809487135, 0.6107275543071431, 0.6246287906623593, 0.6041998381488096, 0.5996530219651243, 0.6148477808988093, 0.6015708905686373, 0.6107275543071431, 0.6060858628039487, 0.614847780898809, 0.600306216091251, 0.6149867314071427, 0.607142857142857]"
p0.0013257113655901094_n20_k6_seed1,0.0013257113655901094,1,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0013257113655901094_n20_k6_seed2,0.0013257113655901094,2,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0013257113655901094_n20_k6_seed3,0.0013257113655901094,3,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0013257113655901094_n20_k6_seed4,0.0013257113655901094,4,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0013257113655901094_n20_k6_seed5,0.0013257113655901094,5,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0013257113655901094_n20_k6_seed6,0.0013257113655901094,6,20,6,0.9935897435897436,1.2347368421052631,1.5735138397915294,1.1475409836065575,0.05000004442660891,0.05000279809041886,0.07500000000000002,1.4020898129969836e-11,5.650483722302233e-06,0.05,6.1,0.5990476190476188,"[-8.993368571799923, -8.618033988749911, -8.618033988749884, -8.000000000000004, -7.999999999999994, -7.6699073517265335, -7.45964954842535, -7.39519559714479, -7.34457651675526, -6.855520209116991, -6.618033988749894, -6.3819660112501015, -6.381966011250099, -5.999999999999981, -5.891491460744518, -4.637529042015215, -4.381966011250099, -1.4484792281965377, -1.3042824740748524, -6.661338147750939e-16]","[6.73765350350372, 6.000139825190242, 6.2, 6.1000000000000005, 6.000702198044837, 6.047387072562056, 6.099999999999994, 6.003903456956682, 6.100000000000004, 6.055133608522489, 6.000000000000001, 6.199999999999998, 6.034966553791122, 6.027027027027028, 6.100000000000001, 6.077407050823427, 6.000000000000001, 6.051488280604601, 6.099999999999999, 6.1000000000000005]","[0.5440752059582439, 0.6045987805803407, 0.5934886847244045, 0.5990476190476188, 0.6132330193269284, 0.601881915095168, 0.5927072422723181, 0.6011192677460772, 0.6029661873962351, 0.6150927961350579, 0.6046065533708337, 0.5860351247994053, 0.6075100924949645, 0.6051480051480052, 0.5951290506990026, 0.596739635946869, 0.6120601132958331, 0.5964193644467696, 0.60538799582292, 0.599047619047619]"
p0.0013257113655901094_n20_k6_seed7,0.0013257113655901094,7,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0015264179671752333_n20_k6_seed0,0.0015264179671752333,0,20,6,1.0096153846153846,1.2442105263157892,1.5867187823638755,1.1475409836065575,0.05000004411049445,0.050002814408851175,0.07500000000000004,1.3920999701609256e-11,5.683322797971188e-06,0.05,6.1,0.607142857142857,"[-9.071058138659124, -8.618033988749911, -8.107507344735765, -8.000000000000005, -8.000000000000002, -8.0, -7.4596495484253635, -7.426643227910417, -7.344576516755254, -6.8325368812598875, -6.618033988749891, -6.529354429718751, -6.381966011250099, -6.037970036988886, -5.891491460744529, -4.592221236709703, -4.381966011250095, -1.4027087040174568, -1.3042824740748484, 4.440892098500626e-16]","[6.512554001197196, 6.130901699437494, 6.28286845222025, 6.231598743599954, 6.094657672854778, 6.085272860283434, 6.130901699437499, 6.002756180108772, 6.019098300562504, 6.071086168832679, 6.130901699437498, 6.013913333571645, 6.0190983005625025, 6.024073216070134, 6.019098300562503, 6.057930164590901, 6.019098300562506, 6.034818483408425, 6.130901699437495, 6.1]","[0.5911755067047918, 0.6041998381488098, 0.5965318064786579, 0.5989962682533363, 0.6074735726327993, 0.608054537220549, 0.6149867314071428, 0.604809809487135, 0.6107275543071431, 0.6246287906623593, 0.6041998381488096, 0.5996530219651243, 0.6148477808988093, 0.6015708905686373, 0.6107275543071431, 0.6060858628039487, 0.614847780898809, 0.600306216091251, 0.6149867314071427, 0.607142857142857]"
p0.0015264179671752333_n20_k6_seed1,0.0015264179671752333,1,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0015264179671752333_n20_k6_seed2,0.0015264179671752333,2,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0015264179671752333_n20_k6_seed3,0.0015264179671752333,3,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0015264179671752333_n20_k6_seed4,0.0015264179671752333,4,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0015264179671752333_n20_k6_seed5,0.0015264179671752333,5,20,6,1.0,1.263157894736842,1.5883525153643596,1.0,0.050000043965183885,0.050002813811617926,0.07499999999999998,1.3875310814510834e-11,5.68219985787436e-06,0.05000000000000001,6.0,0.5999999999999999,"[-8.618033988749898, -8.618033988749898, -8.000000000000004, -8.0, -7.999999999999999, -7.459649548425377, -7.459649548425362, -7.344576516755269, -7.344576516755255, -6.6180339887499, -6.618033988749897, -6.381966011250098, -6.381966011250098, -5.891491460744545, -5.891491460744542, -4.381966011250117, -4.381966011250117, -1.3042824740748546, -1.3042824740748538, -3.532738611704001e-17]","[6.0, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000001, 5.999999999999999, 5.999999999999999, 6.0, 6.000000000000002, 6.0, 6.0, 6.000000000000001, 5.999999999999998, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0]","[0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.5999999999999998, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6, 0.6, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6]"
p0.0015264179671752333_n20_k6_seed6,0.0015264179671752333,6,20,6,0.9935897435897436,1.2347368421052631,1.5735138397915294,1.1475409836065575,0.05000004442660891,0.05000279809041886,0.07500000000000002,1.4020898129969836e-11,5.650483722302233e-06,0.05,6.1,0.5990476190476188,"[-8.993368571799923, -8.618033988749911, -8.618033988749884, -8.000000000000004, -7.999999999999994, -7.6699073517265335, -7.45964954842535, -7.39519559714479, -7.34457651675526, -6.855520209116991, -6.618033988749894, -6.3819660112501015, -6.381966011250099, -5.999999999999981, -5.891491460744518, -4.637529042015215, -4.381966011250099, -1.4484792281965377, -1.3042824740748524, -6.661338147750939e-16]","[6.73765350350372, 6.000139825190242, 6.2, 6.1000000000000005, 6.000702198044837, 6.047387072562056, 6.099999999999994, 6.003903456956682, 6.100000000000004, 6.055133608522489, 6.000000000000001, 6.199999999999998, 6.034966553791122, 6.027027027027028, 6.100000000000001, 6.077407050823427, 6.000000000000001, 6.051488280604601, 6.099999999999999, 6.1000000000000005]","[0.5440752059582439, 0.6045987805803407, 0.5934886847244045, 0.5990476190476188, 0.6132330193269284, 0.601881915095168, 0.5927072422723181, 0.6011192677460772, 0.6029661873962351, 0.6150927961350579, 0.6046065533708337, 0.5860351247994053, 0.6075100924949645, 0.6051480051480052, 0.5951290506990026, 0.596739635946869, 0.6120601132958331, 0.5964193644467696, 0.60538799582292, 0.599047619047619]"
